banco,mes,year,roa,size,cap,loan,dep,prov,pbi,tc,i,ftamn,tpmn
Banco Continental,enero ,2014,-1.39651378925354,1.5742780121049,-2.12765957446808,-0.344275576411848,-2.27499875053622,2.433740825281,4.22816443319077,8.4829845503721,0,0,0
Banco Continental,febrero,2014,-1.07381600326387,-0.409830551218693,0,-1.14956901647509,2.86127266140185,1.6005797938846,5.20823179633005,6.31387206602532,0,0.924318227555438,0.372472507981552
Banco Continental,marzo,2014,-0.186995216925711,1.43180935591909,-0.644122383252819,-0.278344434585045,-0.880068417075638,-0.64146545281392,5.41227520969711,6.23702300998455,0,-1.80573718037895,0.424103198444967
Banco Continental,abril,2014,-0.129499516025609,-0.927137192065416,0.405186385737445,-0.734347542753864,2.15762186490754,2.2557181185663,2.92329434852197,5.94757916413585,0,-2.9383429672447,0.989794122822451
Banco Continental,mayo,2014,-0.123079928324723,0.897955297961619,4.51977401129942,-0.999196464702485,0.124882809294904,1.21611028823339,2.5905331111518,3.93830325468327,0,5.72665790882109,2.01245807379012
Banco Continental,junio,2014,0.23466185390662,-1.80636356711131,0.23166023166024,-0.110546389388864,-0.815649283111196,-5.13799856413555,0.378163855204799,0.347081804547572,0,5.47768062586286,2.60899269823648
Banco Continental,julio,2014,-1.33170758483767,3.95917951265403,1.92604006163328,-0.731335065501841,-1.21450308520459,1.76568863482728,1.44991902920236,-0.962207883132976,-6.25,-6.22504941034803,-0.836454431960059
Banco Continental,agosto,2014,-1.08876264020111,1.38613681805479,-2.49433106575964,-1.18723524152936,0.681277382332352,0.265158682941505,1.35323588063804,-0.509538357500744,0,-1.52139018773118,-2.14024927609214
Banco Continental,septiembre,2014,-0.850818508229873,3.99598314908652,-1.16279069767442,-0.348005186810414,-5.68933922413042,-2.02161137965263,2.67317275379179,1.98905171859726,-6.66666666666667,-2.55214607989039,-0.338779536000696
Banco Continental,octubre,2014,0.43923618249515,-2.00322988138212,11.6078431372549,0.169622484097601,2.46422368544541,1.52917831700514,2.27335718776672,3.49542159747155,0,-4.66588772586455,-0.65834767641996
Banco Continental,noviembre,2014,-1.04254633877077,1.32186586375993,-0.913562895291643,-0.927221738878497,0.3984791702049,-0.232148722265122,0.157154628621769,2.67568678427469,0,6.70975747435655,-0.710356477671416
Banco Continental,diciembre,2014,-0.0294379829796454,1.46693878980751,-0.141843971631203,1.14146066285619,-2.5349214297475,-2.45129112061274,0.793651694563594,3.78621079379893,0,-1.96203647662665,-0.802687257339798
Banco Continental,enero ,2015,-0.24375769700261,3.43525797150852,-2.13068181818182,1.0750972002558,1.05090493479193,3.71189879444406,1.5598279965584,3.71579796056041,-7.14285714285714,-7.87347605436622,-1.27973965433835
Banco Continental,febrero,2015,-0.609221377201675,2.60607663660167,-0.145137880986935,1.48515961773679,-1.97579024333859,0.653017955474489,1.23216053850744,6.4774062244866,0,-2.29211846833299,-1.1047754811119
Banco Continental,marzo,2015,-0.54460648836618,1.48508818378337,-2.25290697674419,2.57359312548477,-1.83455034223241,-2.28680638666278,2.93464556248251,6.85770961840168,0,6.93614148778184,0.364864864864855
Banco Continental,abril,2015,0.0159483897492019,2.20001712410834,1.41263940520447,0.556514598195097,0.854267632787117,1.84381733952677,4.19581948490056,8.16463718634215,0,-6.39618757122651,-0.602905315440503
Banco Continental,mayo,2015,-2.93215629544155,0.737846165301277,-0.320734799475962,-0.175727226291366,-2.28989426452162,1.35030386119129,1.28136437046267,9.31690161543347,0,4.42488220695628,2.64298615291977
Banco Continental,junio,2015,-1.38807295909524,2.61005256675089,-0.855028101048638,0.37018658172956,3.12298741950825,-4.92186167316791,4.08388439643235,9.39620098830411,0,6.8311332696133,-1.12176667253212
Banco Continental,julio,2015,-2.3028943219272,6.26006146466675,-2.89317507418398,-0.700840927729456,-7.54559899053192,1.17917110424876,3.60173354116187,10.4417654020552,0,-9.43190006625496,-1.53490234461894
Banco Continental,agosto,2015,0.398599046863418,-3.39709969621885,5.3475935828877,0.133688129027736,3.58683417750653,2.63685391660071,2.66913960277215,10.8056885884332,0,2.48726464965773,1.92481474787637
Banco Continental,septiembre,2015,-2.77242251913007,4.31332185348875,0.797679477882532,-1.12550066880516,-1.8821826382225,-1.44889558389944,3.18865379850733,8.12128584810958,7.69230769230769,-2.54360919492322,4.8408546856991
Banco Continental,octubre,2015,-3.08651312616192,6.48087677713841,0.35971223021582,-2.05999797470038,-1.44089741496405,1.15059895593206,3.27516366147704,8.01693724096263,0,-0.299385191125354,0.579690377139945
Banco Continental,noviembre,2015,-1.79376069232389,-0.987736620594208,-0.430107526881711,-0.0525786924137914,-0.39027006611442,-4.70810589768949,3.94509210356024,10.0507941640708,0,5.86090406992332,1.90398698128538
Banco Continental,diciembre,2015,-3.47745465957839,0.402470098724083,-2.51979841612672,0.296768799524931,2.5040484858219,-1.01331829831413,6.51171232918273,10.2078040355097,7.14285714285714,2.09705197041839,-0.688943894389427
Banco Continental,enero ,2016,-1.53317122074104,-1.10389237329608,-1.69867060561299,-2.32810956450531,-0.0430861602937725,4.1413097371456,3.5371521375162,10.8294475354414,6.66666666666667,-0.00396904147647418,3.77186059070327
Banco Continental,febrero,2016,-2.03903471914622,1.0221739987666,0.601051840721263,-1.8135347088234,0.236925761532721,1.07524549996342,6.42260004513846,10.1154155013125,6.25,3.78066206239581,2.87818742244105
Banco Continental,marzo,2016,-2.71485029866885,-0.418867824551834,-1.64301717699776,-2.9789310704734,-2.03245140785534,-4.07084607639,3.55575312326125,6.56728858830644,0,0.400627235002773,1.70817120622569
