banco,mes,year,ROA,SIZE,CAP,LOAN,DEP,PROV
Banco Continental,enero ,2014,-0.0139651378925354,0.015742780121049,-0.0212765957446808,-0.00344275576411848,-0.0227499875053622,0.02433740825281
Banco Continental,febrero,2014,-0.0107381600326387,-0.00409830551218693,0,-0.0114956901647509,0.0286127266140185,0.016005797938846
Banco Continental,marzo,2014,-0.00186995216925711,0.0143180935591909,-0.00644122383252819,-0.00278344434585045,-0.00880068417075638,-0.0064146545281392
Banco Continental,abril,2014,-0.00129499516025609,-0.00927137192065416,0.00405186385737445,-0.00734347542753864,0.0215762186490754,0.022557181185663
Banco Continental,mayo,2014,-0.00123079928324723,0.00897955297961619,0.0451977401129942,-0.00999196464702485,0.00124882809294904,0.0121611028823339
Banco Continental,junio,2014,0.0023466185390662,-0.0180636356711131,0.0023166023166024,-0.00110546389388864,-0.00815649283111196,-0.0513799856413555
Banco Continental,julio,2014,-0.0133170758483767,0.0395917951265403,0.0192604006163328,-0.00731335065501841,-0.0121450308520459,0.0176568863482728
Banco Continental,agosto,2014,-0.0108876264020111,0.0138613681805479,-0.0249433106575964,-0.0118723524152936,0.00681277382332352,0.00265158682941505
Banco Continental,septiembre,2014,-0.00850818508229874,0.0399598314908652,-0.0116279069767442,-0.00348005186810414,-0.0568933922413042,-0.0202161137965263
Banco Continental,octubre,2014,0.0043923618249515,-0.0200322988138212,0.116078431372549,0.00169622484097601,0.0246422368544541,0.0152917831700514
Banco Continental,noviembre,2014,-0.0104254633877077,0.0132186586375993,-0.00913562895291643,-0.00927221738878497,0.003984791702049,-0.00232148722265122
Banco Continental,diciembre,2014,-0.000294379829796454,0.0146693878980751,-0.00141843971631203,0.0114146066285619,-0.025349214297475,-0.0245129112061274
Banco Continental,enero ,2015,-0.0024375769700261,0.0343525797150852,-0.0213068181818182,0.010750972002558,0.0105090493479193,0.0371189879444406
Banco Continental,febrero,2015,-0.00609221377201676,0.0260607663660167,-0.00145137880986935,0.0148515961773679,-0.0197579024333859,0.00653017955474489
Banco Continental,marzo,2015,-0.0054460648836618,0.0148508818378337,-0.0225290697674419,0.0257359312548477,-0.0183455034223241,-0.0228680638666278
Banco Continental,abril,2015,0.000159483897492019,0.0220001712410834,0.0141263940520447,0.00556514598195097,0.00854267632787117,0.0184381733952677
Banco Continental,mayo,2015,-0.0293215629544155,0.00737846165301277,-0.00320734799475962,-0.00175727226291366,-0.0228989426452162,0.0135030386119129
Banco Continental,junio,2015,-0.0138807295909524,0.0261005256675089,-0.00855028101048638,0.0037018658172956,0.0312298741950825,-0.0492186167316791
Banco Continental,julio,2015,-0.023028943219272,0.0626006146466675,-0.0289317507418398,-0.00700840927729456,-0.0754559899053192,0.0117917110424876
Banco Continental,agosto,2015,0.00398599046863418,-0.0339709969621885,0.0534759358288769,0.00133688129027736,0.0358683417750653,0.0263685391660071
Banco Continental,septiembre,2015,-0.0277242251913007,0.0431332185348875,0.00797679477882532,-0.0112550066880516,-0.018821826382225,-0.0144889558389944
Banco Continental,octubre,2015,-0.0308651312616192,0.0648087677713841,0.0035971223021582,-0.0205999797470038,-0.0144089741496405,0.0115059895593206
Banco Continental,noviembre,2015,-0.0179376069232389,-0.00987736620594208,-0.00430107526881711,-0.000525786924137914,-0.0039027006611442,-0.0470810589768949
Banco Continental,diciembre,2015,-0.0347745465957839,0.00402470098724083,-0.0251979841612672,0.00296768799524931,0.025040484858219,-0.0101331829831413
Banco Continental,enero ,2016,-0.0153317122074104,-0.0110389237329608,-0.0169867060561299,-0.0232810956450531,-0.000430861602937725,0.041413097371456
Banco Continental,febrero,2016,-0.0203903471914622,0.010221739987666,0.00601051840721263,-0.018135347088234,0.00236925761532721,0.0107524549996342
Banco Continental,marzo,2016,-0.0271485029866885,-0.00418867824551834,-0.0164301717699776,-0.029789310704734,-0.0203245140785534,-0.0407084607639
Banco Continental,abril,2016,-0.0125422217267755,-0.0326246298430078,0.0546697038724374,-0.0132826762084504,0.00970040091160723,-0.00264866782158729
Banco Continental,mayo,2016,0.000023402330575488,0.00745644877267356,-0.00863930885529165,-0.0131825733624143,-0.00538175612883356,0.0286898072862778
Banco Continental,junio,2016,-0.0108713109530103,-0.0218943513802341,-0.00290486564996363,-0.0166031999047539,0.0306333845769994,0.0219792855905166
Banco Continental,julio,2016,-0.00845340600109442,0.0283377151520844,0.0065549890750182,-0.00218807477666787,0.0170105069877762,-0.0221517484710267
Banco Continental,agosto,2016,-0.0145258002746012,-0.00919990793633432,0.040520984081042,-0.00661279200656846,0.00580059795580224,0.0234686732695882
Banco Continental,septiembre,2016,0.00862292752991017,-0.0189931884953388,0.0173852573018081,0.00426525215712034,0.002267436414079,0.0136654808852264
Banco Continental,octubre,2016,-0.00931534675138092,-0.0072884130503973,0.00205058099794938,0.00867061916924482,-0.0027419768914994,-0.0105758235901809
Banco Continental,noviembre,2016,0.00221186313079187,0.0117409848917017,-0.00818553888130975,-0.00628976848886625,0.00111176562693903,0.0119246548093932
Banco Continental,diciembre,2016,0.0155186022625234,0.0180295413545549,0.00687757909215966,-0.0238309864648735,0.0234545486350848,-0.0452222987897666
Banco Continental,enero ,2017,-0.00302511169597024,-0.0188579066898584,-0.0266393442622951,0.00797067185646255,0.00642085361002031,0.0506500217831276
Banco Continental,febrero,2017,0.00530556439267806,0.0132652682939241,0.031578947368421,-0.00189540762743733,0.0017413659560554,0.0212697376103564
Banco Continental,marzo,2017,0.0196149272529595,-0.031100027683771,0.0170068027210884,-0.00148463739895774,-9.58229030502254E-06,-0.0135925664920999
